name,main_category,sub_category,url,brand,price,sku_ids,product_id
Familienzelt Stangenaufbau - Arpenaz 4.1 Fresh & Black 4 Personen in 1 Kabine,camping,zelte,https://www.decathlon.de/p/familienzelt-stangenaufbau-arpenaz-4-1-fresh-black-fur-4-personen-1-kabine/_/R-p-177332?mc=8731616&c=blau_beige,QUECHUA,"199,99 €",4456574,8731616
Wurfzelt XL - 2 Seconds Fresh & Black für 3 Personen,camping,zelte,https://www.decathlon.de/p/wurfzelt-xl-2-seconds-fresh-black-fur-3-personen/_/R-p-172537?mc=8492484&c=weiß_blau,QUECHUA,"164,99 €",2556864,8492484
Campingzelt MH100 Fresh & Black für 3 Personen,camping,zelte,https://www.decathlon.de/p/campingzelt-mh100-fresh-black-fur-3-personen/_/R-p-313085?mc=8576111&c=beige_blau_grün,QUECHUA,"79,99 €",2963895,8576111
Dachzelt Fresh & Black - MH500 für 2 Personen,camping,zelte,https://www.decathlon.de/p/dachzelt-fresh-black-mh500-fur-2-personen/_/R-p-331938?mc=8642422,QUECHUA,"1.299,99 €",4274620,8642422
Wurfzelt 2 Seconds LTD Scout für 3 Personen braun/grün,camping,zelte,https://www.decathlon.de/p/wurfzelt-2-seconds-ltd-scout-fur-3-personen/_/R-p-3349?mc=8492687&c=blau,QUECHUA,"79,99 €",2558275,8492687
Campingzelt Fresh & Black - MH100 XL für 3 Personen,camping,zelte,https://www.decathlon.de/p/campingzelt-fresh-black-mh100-xl-fur-3-personen/_/R-p-331796?mc=8641758&c=beige_blau_grau,QUECHUA,"119,99 €",4271868,8641758
Familienzelt aufblasbar - Air Seconds 4.1 Fresh & Black für 4 Personen 1 Kabine,camping,zelte,https://www.decathlon.de/p/familienzelt-aufblasbar-fresh-black-air-seconds-4-1-fur-4-personen-1-kabine/_/R-p-302837?mc=8648382&c=beige,QUECHUA,"419,99 €",4327055,8648382
Campingzelt MH100 für 2 Personen,camping,zelte,https://www.decathlon.de/p/campingzelt-mh100-fur-2-personen/_/R-p-303295?mc=8513471&c=grau_blau_grün,QUECHUA,"34,99 €",2467687,8513471
Familienzelt Stangenaufbau - Arpenaz 4.1 für 4 Personen in 1 Kabine,camping,zelte,https://www.decathlon.de/p/familienzelt-1-kabine-stangenaufbau-arpenaz-4-1-fur-4-personen/_/R-p-4123?mc=8648383&c=blau_grün,QUECHUA,"159,99 €",4327058,8648383
Wurfzelt Fresh & Black - 2 Seconds für 3 Personen,camping,zelte,https://www.decathlon.de/p/wurfzelt-fresh-black-2-seconds-fur-3-personen/_/R-p-346717?mc=8801561&c=weiß,QUECHUA,"129,99 €",4854124,8801561
Campingzelt MH100 Fresh & Black für 2 Personen,camping,zelte,https://www.decathlon.de/p/campingzelt-mh100-fresh-black-fur-2-personen/_/R-p-313100?mc=8576112&c=beige_grau_grün,QUECHUA,"64,99 €",2963896,8576112
Faltzelt Fresh & Black - 2 Seconds Easy für 2 Personen,camping,zelte,https://www.decathlon.de/p/faltzelt-fresh-black-2-seconds-easy-fur-2-personen/_/R-p-308355?mc=8553541&c=weiß_blau,QUECHUA,"129,99 €",2758192,8553541
Campingzelt - MH100 XXL für 4 Personen,camping,zelte,https://www.decathlon.de/p/familienzelt-1-kabine-stangenaufbau-arpenaz-4-fur-4-personen/_/R-p-105650?mc=8755590&c=blau_grau,QUECHUA,"129,99 €",4557070,8755590
Wurfzelt Fresh & Black - 2 Seconds für 2 Personen,camping,zelte,https://www.decathlon.de/p/wurfzelt-fresh-black-2-seconds-fur-2-personen/_/R-p-346745?mc=8801560&c=weiß,QUECHUA,"109,99 €",4854119,8801560
Handpumpe Camping UltimComfort 10 PSI für aufblasbare Zelte,camping,zelte,https://www.decathlon.de/p/handpumpe-camping-ultimcomfort-10-psi-fur-aufblasbare-zelte/_/R-p-327638?mc=8601387,QUECHUA,"27,99 €",4108963,8601387
Familienzelt Stangenaufbau - Arpenaz 5.2 Fresh & Black 5 Personen in 2 Kabinen,camping,zelte,https://www.decathlon.de/p/familienzelt-stangenaufbau-arpenaz-5-2-fresh-black-5-personen-in-2-kabinen/_/R-p-301124?mc=8810951,QUECHUA,"349,99 €",4899358;2380420,8810951
Aufenthaltszelt Stangenaufbau - Arpenaz Base für 6 Personen,camping,zelte,https://www.decathlon.de/p/aufenthaltszelt-stangenzelt-arpenaz-base-grosse-m/_/R-p-157674?mc=8648391&c=blau_grün,QUECHUA,"139,99 €",4327106,8648391
Campingzelt - MH100 für 3 Personen,camping,zelte,https://www.decathlon.de/p/campingzelt-mh100-fur-3-personen/_/R-p-308317?mc=8553542&c=grau_blau_grün,QUECHUA,"49,99 €",2758193,8553542
Anbauzelt zum Verbinden mit Dachzelt MH500 2P,camping,zelte,https://www.decathlon.de/p/anbauzelt-zum-verbinden-mit-dachzelt-mh500-2p/_/R-p-338016?mc=8734596,QUECHUA,"299,99 €",4490211,8734596
Familienzelt Stangenaufbau - Arpenaz 4.2 Fresh & Black 4 Personen in 2 Kabinen,camping,zelte,https://www.decathlon.de/p/familienzelt-stangenaufbau-arpenaz-4-2-fresh-black-4-personen-in-2-kabinen/_/R-p-310022?mc=8561167,QUECHUA,"279,99 €",2895865,8561167
Familienzelt aufblasbar - Air Seconds 5.2 Fresh & Black für 5 Personen 2 Kabinen,camping,zelte,https://www.decathlon.de/p/familienzelt-aufblasbar-air-seconds-5-2-fresh-black-fur-5-personen-2-kabinen/_/R-p-324972?mc=8584565,QUECHUA,"649,99 €",4018210,8584565
Familienzelt aufblasbar - Air Seconds 4.2 Fresh & Black für 4 Personen 2 Kabinen,camping,zelte,https://www.decathlon.de/p/familienzelt-aufblasbar-air-seconds-4-2-fresh-black-fur-4-personen-in-2-kabinen/_/R-p-157654?mc=8572950&c=beige,QUECHUA,"529,99 €",2893031,8572950
Wurfzelt XL - 2 Seconds Fresh & Black für 2 Personen,camping,zelte,https://www.decathlon.de/p/wurfzelt-xl-2-seconds-fresh-black-fur-2-personen/_/R-p-172536?mc=8492483&c=weiß_blau,QUECHUA,"139,99 €",2556863,8492483
Aufenthaltszelt Stangenzelt Arpenaz Base Fresh Größe L,camping,zelte,https://www.decathlon.de/p/aufenthaltszelt-stangenzelt-arpenaz-base-fresh-große-l/_/R-p-308178?mc=8554912,QUECHUA,"219,99 €",2755985,8554912
Aufenthaltszelt aufblasbar - Base Air Seconds Fresh für 8 Personen,camping,zelte,https://www.decathlon.de/p/aufenthaltszelt-aufblasbar-base-air-seconds-fresh-fur-8-personen/_/R-p-324927?mc=8584545,QUECHUA,"399,99 €",4018190,8584545
Vorzelt Campingbus aufblasbar Air Seconds Base Connect Fresh,camping,zelte,https://www.decathlon.de/p/vorzelt-campingbus-aufblasbar-air-seconds-base-connect-fresh/_/R-p-310023?mc=8561168&c=beige,QUECHUA,"349,99 €",2895866,8561168
Familienzelt Stangenaufbau - Arpenaz 4.2 für 4 Personen in 2 Kabinen,camping,zelte,https://www.decathlon.de/p/familienzelt-stangenaufbau-arpenaz-4-2-fur-4-personen-in-2-kabinen/_/R-p-311103?mc=8562098,QUECHUA,"199,99 €",2881865,8562098
Faltzelt - 2 Seconds 2 Personen,camping,zelte,https://www.decathlon.de/p/faltzelt-2-seconds-2-personen/_/R-p-340082?mc=8755225&c=blau,QUECHUA,"74,99 €",4549663,8755225
